country,iso3,region,income_level,gdp_per_capita_usd,log10_gdp_per_capita,life_expectancy_years,population,population_millions,urban_pop_pct,fertility_rate,health_exp_per_capita_usd,co2_per_capita_t
Cayman Islands,CYM,Latin America & Caribbean,High income,92937.8838323153,4.968192779500593,79.984,71591,0.072,100,1.541,,5.00342221787655
Central African Republic,CAF,Sub-Saharan Africa,Low income,467.359825026238,2.669651377035,18.818,5098039,5.098,43.2751967457285,6.023,47.91523361,0.0632596180609838
Chad,TCD,Sub-Saharan Africa,Low income,966.036468278568,2.9849935215223233,54.528,18455316,18.455,25.7635558629694,6.215,40.17007446,0.155239823582539
Channel Islands,CHI,Europe & Central Asia,High income,67627.1417347907,4.8301210323308545,81,167215,0.167,32.7920439098264,1.37,,
Chile,CHL,Latin America & Caribbean,High income,15399.1044717559,4.187495465363515,79.176,19553036,19.553,88.6395352768685,1.255,1541.37927246,4.62474983424569
China,CHN,East Asia & Pacific,Upper middle income,12970.6056414327,4.112960255235301,78.202,1412175000,1412.175,65.2176361083984,1.034,755.43597412,8.86482511020235
Colombia,COL,Latin America & Caribbean,Upper middle income,6680.44506854481,3.824805397262098,76.508,51737944,51.738,78.0464633137335,1.663,507.07064819,1.70753982802254
Comoros,COM,Sub-Saharan Africa,Lower middle income,1533.87755393614,3.1857906922255204,66.481,834188,0.834,32.7746035528748,3.935,124.14363861,0.515231578493098
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,687.738587554685,2.8374233923686663,60.979,102396968,102.397,44.003287663813,6.106,24.3800106,0.0610125487309351
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2620.83804267402,3.418440184110961,65,6035104,6.035,63.6422003342807,4.215,53.11892319,1.38493056623382
Costa Rica,CRI,Latin America & Caribbean,High income,13971.7649991294,4.145251272324924,79.316,5081765,5.082,78.4405687613972,1.335,978.84155273,1.61315999460817
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2333.37128301259,3.3679838486669937,61.562,30395002,30.395,52.8492549676673,4.349,84.89915466,0.605701555801839
Croatia,HRV,Europe & Central Asia,High income,18465.531473659,4.266361812000844,77.5756097560976,3855641,3.856,56.9977571733605,1.53,1328.80371094,4.57371420212618
Curacao,CUW,Latin America & Caribbean,High income,20057.1404960105,4.302269016654261,76.729,153321,0.153,91.4007684350799,1.4,,
Cyprus,CYP,Europe & Central Asia,High income,33231.05078125,4.521544074088928,80.434,1331370,1.331,66.6694829407584,1.393,2748.6159668,5.425313774533
Czechia,CZE,Europe & Central Asia,High income,28282.2236715857,4.451513552590681,78.9292682926829,10672118,10.672,72.6967638379524,1.64,2431.08496094,9.15364691432385
Denmark,DNK,Europe & Central Asia,High income,67781.0940939514,4.831108574757052,81.3048780487805,5903037,5.903,88.3880239837703,1.55,6451.19433594,4.8270407249692
Djibouti,DJI,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,3133.25779772463,3.4959961291693555,65.54,1137096,1.137,72.6109938538856,2.653,79.13184357,0.762292717589368
Dominica,DMA,Latin America & Caribbean,Upper middle income,9323.66089490562,3.9695864696802206,71.081,66826,0.067,72.682648635692,1.482,542.53948975,1.21509592074941
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,10104.2464008585,4.004503928326016,74.211,11230734,11.231,72.4203155643711,2.267,469.34915161,2.85936787390744
Ecuador,ECU,Latin America & Caribbean,Upper middle income,6515.58528418336,3.8139534337514887,76.577,17823897,17.824,63.0901835932266,1.861,495.30380249,2.47809443692364
"Egypt, Arab Rep.",EGY,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,4233.30783744856,3.6266798506247797,71.01,112618250,112.618,42.6325129008032,2.75,171.67852783,2.29974804261299
El Salvador,SLV,Latin America & Caribbean,Upper middle income,5074.60050994225,3.7054018587711437,71.969,6280319,6.28,74.1465021298679,1.785,500.20321655,1.34798885215862
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,7589.29964909381,3.8802017004583784,63.355,1803545,1.804,70.8910029445467,4.17,215.32841492,2.82155421683407
Estonia,EST,Europe & Central Asia,High income,28340.3826549406,4.452405709842537,77.8439024390244,1348840,1.349,70.4892333736738,1.41,1998.74523926,11.1341597224282
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,3894.1620089869,3.590414015531579,63.028,1218917,1.219,25.396682918542002,2.801,284.75802612,0.883161035575023
Ethiopia,ETH,Sub-Saharan Africa,Low income,982.103161502198,2.992157109088385,66.897,125384287,125.384,22.7367687225342,4.082,27.06845474,0.146229646781817
Faroe Islands,FRO,Europe & Central Asia,High income,67069.3987440509,4.8265244130454175,82.8162292682927,53903,0.054,38.9959824546757,2.0788,,0.0389588705637905
Fiji,FJI,East Asia & Pacific,Upper middle income,5414.12092119088,3.733527951253381,67.148,919422,0.919,58.1352701465266,2.305,217.15068054,1.56000182723494
Finland,FIN,Europe & Central Asia,High income,50440.560224974,4.702779901478833,81.1878048780488,5556106,5.556,73.6967597835949,1.32,4902.0390625,6.68162198489374
France,FRA,Europe & Central Asia,High income,40988.6396406579,4.6126635048898255,82.1292682926829,68184457,68.184,78.7591921123356,1.78,4857.73388672,4.51246828877731
French Polynesia,PYF,East Asia & Pacific,High income,20053.9569369322,4.302200078019723,83.859,280378,0.28,61.6913806937112,1.515,,3.30197091069913
Gabon,GAB,Sub-Saharan Africa,Upper middle income,8409.20741452279,3.924755064558888,67.713,2430747,2.431,91.2243355459988,3.712,243.09941101,2.29694822208975
"Gambia, The",GMB,Sub-Saharan Africa,Low income,836.244875868476,2.9223334696232777,64.859,2636470,2.636,63.2869880996278,4.078,29.57811737,0.187713116401856
Georgia,GEO,Europe & Central Asia,Upper middle income,6729.84659930283,3.82800516499135,74.141,3712502,3.713,60.0101622679115,1.82,546.22503662,3.62639535278365
Germany,DEU,Europe & Central Asia,High income,50506.5179638543,4.703347428278516,80.6080487804878,83177813,83.178,81.7867852780995,1.455,6226.14208984,7.91182860265874
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2229.89122654479,3.348283678804427,65.246,33149152,33.149,57.250609602871,3.434,82.32108307,0.717599050497581
Greece,GRC,Europe & Central Asia,High income,20884.6773436263,4.319827770050501,80.7878048780488,10437805,10.438,78.5502190980809,1.32,1768.11071777,5.28045887042343
Greenland,GRL,Europe & Central Asia,High income,55635.0006491223,4.74534809745143,71.230243902439,56661,0.057,87.8049405256832,1.818,,10.4198655159634
Grenada,GRD,Latin America & Caribbean,Upper middle income,10469.3867012856,4.019921241368551,75.151,116913,0.117,36.3688840183487,1.502,526.35113525,1.44894066528102
Guam,GUM,East Asia & Pacific,High income,41833.1517132825,4.621520585597224,77.102,165180,0.165,94.1068261842046,2.819,,0.00181620050853614
